home_team,away_team,target,rank_dif,goals_dif,goals_dif_l5,goals_suf_dif,goals_suf_dif_l5,goals_per_ranking_dif,dif_rank_agst,dif_rank_agst_l5,dif_points_rank,dif_points_rank_l5,is_friendly_0,is_friendly_1
Sierra Leone,Egypt,1,86.0,-1.0,-1.0,-0.050000000000000044,-0.050000000000000044,-0.013423538285416736,39.55,39.55,-0.012294910537146424,-0.012294910537146424,1,0
Sudan,DR Congo,0,62.0,-0.25,-0.25,0.75,0.75,-0.003683973000549408,21.25,21.25,-0.007097150058778489,-0.007097150058778489,1,0
Zimbabwe,Nigeria,1,86.0,-3.0,-3.0,-1.25,-1.25,-0.023622047244094488,12.0,12.0,-0.009533528639158469,-0.009533528639158469,1,0
Burundi,Gabon,1,55.0,0.16666666666666674,0.16666666666666674,1.1666666666666667,1.1666666666666667,0.004696258142705653,-15.166666666666671,-15.166666666666671,-0.0010339938444513582,-0.0010339938444513582,1,0
Mozambique,Algeria,1,84.0,0.25,0.25,1.4,1.4,-4.624010172822601e-05,11.150000000000006,11.150000000000006,-0.03765899372186937,-0.03765899372186937,1,0
Cyprus,Lithuania,0,-26.0,-1.2,-1.2,2.2,2.2,-0.019186046511627905,-21.6,-21.6,-0.016164664756214052,-0.016164664756214052,0,1
Scotland,Norway,1,-14.0,-1.4,-1.4,1.8000000000000003,1.8000000000000003,-0.0005542735622822426,-41.00000000000001,-41.00000000000001,-0.017096441089634512,-0.017096441089634512,1,0
Spain,Georgia,0,-68.0,0.5999999999999996,0.5999999999999996,-1.8000000000000003,-1.8000000000000003,-0.0018245786287023405,14.599999999999994,14.599999999999994,0.03443701591144219,0.03443701591144219,1,0
Belgium,Azerbaijan,0,-116.0,0.8000000000000003,0.8000000000000003,0.0,0.0,0.007598705501618133,11.799999999999997,11.799999999999997,0.024939955339806412,0.024939955339806412,1,0
Sweden,Estonia,0,-88.0,1.8,1.8,-1.4,-1.4,0.019819387836649882,27.799999999999997,27.799999999999997,0.04729403048634648,0.04729403048634648,1,0
Hungary,Montenegro,0,-35.0,0.0,0.0,-0.10000000000000009,-0.10000000000000009,0.009112131937645908,-30.25,-30.25,0.045635101010101,0.045635101010101,1,0
Serbia,Bulgaria,1,-52.0,1.0,1.0,-0.40000000000000013,-0.40000000000000013,0.01852152062900219,-9.199999999999996,-9.199999999999996,0.007061815336463223,0.007061815336463223,1,0
Portugal,Iceland,0,-58.0,2.2,2.2,-1.2000000000000002,-1.2000000000000002,0.026463327411577416,-8.400000000000006,-8.400000000000006,0.03002629691608893,0.03002629691608893,1,0
Bosnia and Herzegovina,Slovakia,1,15.0,-1.0,-1.0,1.0000000000000002,1.0000000000000002,-0.01788841039231461,38.2,38.2,-0.012696796914304876,-0.012696796914304876,1,0
Liechtenstein,Luxembourg,1,111.0,-1.4000000000000001,-1.4000000000000001,0.0,0.0,-0.027697448750080334,-1.0,-1.0,-0.021617717862301395,-0.021617717862301395,1,0
Montserrat,Barbados,0,13.0,0.0,0.0,-2.0000000000000004,-2.0000000000000004,0.00011298845779446516,-2.5999999999999943,-2.5999999999999943,0.007561826252377932,0.007561826252377932,1,0
Aruba,Cayman Islands,0,6.0,1.0,1.0,-1.0,-1.0,0.0053375686723774315,-6.0,-6.0,0.015544041450777202,0.015544041450777202,1,0
